Категория;URL товара;Фото основные;Фото дополнительные;Номер заказа;Мат. основы;Цвет основы;Материал комп.;D;G;H;L;Жесткость пружины, Н/мм;Нагрузка, кг;Твердость по Шору A;Наличие, шт;Цена, руб. с НДС;T;A;B мин.;B макс.;C;Сжатие макс.;Обозначение резьбы;N;Допустимая нагрузка, кг;H1;H2;Диапазон регулировки;Исполнение;B;E;F;Допустимая нагрузка макс., кг;Поверхность комп.;Материал;Высота;Ø;Подходит для опоры с Ø;Подходит для опоры;D1;D2;D3;F макс., кг;Форма;H3;SW
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16007504012;Натуральный каучук;Черный;Сталь;75;M12;40;37;643;270-393;60°;Под заказ;972,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16007505012;Натуральный каучук;Черный;Сталь;75;M12;50;37;472;270-385;60°;449;1106,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.16007505512;Натуральный каучук;Черный;Сталь;75;M12;55;37;310;315-318;60°;328;1016,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1601000301643;Натуральный каучук;Черный;Сталь;100;M16;30;43;1732;350-693;60°;100;2089,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1601000401643;Натуральный каучук;Черный;Сталь;100;M16;40;43;1150;420-690;60°;100;2212,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1601000501643;Натуральный каучук;Черный;Сталь;100;M16;50;43;845;420-676;60°;92;2335,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1601000601643;Натуральный каучук;Черный;Сталь;100;M16;60;43;600;560-720;60°;100;2458,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1601000751643;Натуральный каучук;Черный;Сталь;100;M16;75;43;436;560-785;60°;100;3994,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1601001001643;Натуральный каучук;Черный;Сталь;100;M16;100;43;310;700-775;60°;100;4179,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.1601500752043;Натуральный каучук;Черный;Сталь;150;M20;75;43;981;1400-1766;60°;100;4609,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.27003003008;Изопрен;Серый;Сталь;30;M8;30;23;80;33;70°;736;324,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.36001501504;Натуральный каучук;Черный;Нерж. сталь;15;M4;15;10;50;10-18;60°;310;388,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.36002502006;Натуральный каучук;Черный;Нерж. сталь;25;M6;20;18;140;33-42;60°;464;460,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.36003002008;Натуральный каучук;Черный;Нерж. сталь;30;M8;20;23;238;40-73;60°;387;570,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.36004003008;Натуральный каучук;Черный;Нерж. сталь;40;M8;30;23;205;60-82;60°;396;1037,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00008 Виброопоры цилиндрические с наружной резьбой, тип EC (D);https://alterv.ru/catalog/vibroopory/a00008_vibroopory_tsilindricheskie_s_naruzhnoy_rezboy_tip_ec_d/;https://alterv.ru/upload/iblock/4c4/4m8t0fj2gmrap219j75wluhcvcu58uqs/a00008_vibroopory.png;https://alterv.ru/upload/iblock/cff/qds0b9m238wmd7ps6qhb7dquzqm0kp26/a00008_vibroopory_chertezh.png;A00008.3600500201028;Натуральный каучук;Черный;Нерж. сталь;50;M10;20;28;646;56-194;60°;Под заказ;925,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16000800803;;;;8;M3;8;;35;2-8;;100;61,46;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16001000803;;;;10;M3;8;;100;5-10;;90;70,15;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16001001003;;;;10;M3;10;;75;8-10;;100;70,15;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16001001503;;;;10;M3;15;;50;6-10;;100;86,42;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16001501204;;;;15;M4;12;;-;18;;1238;103,71;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16001501504;;;;15;M4;15;;100;12-18;;17;110,2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16002001006;;;;20;M6;10;;490;20-49;;90;92,19;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16002001506;;;;20;M6;15;;325;25-39;;1932;103,71;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16002002006;;;;20;M6;20;;130;25-26;;292;101,4;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16002002506;;;;20;M6;25;;95;21-28;;200;156,85;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16002003006;;;;20;M6;30;;65;20-35;;90;147,5;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16002502506;;;;25;M6;25;;117;26-33;;625;150,57;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16002503006;;;;25;M6;30;;100;30-41;;368;175,01;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16003001508;;;;30;M8;15;;590;40-71;;833;222,08;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16003002508;;;;30;M8;25;;153;40;;167;239,83;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16003003008;;;;30;M8;30;;168;50;;94;285,21;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16003004008;;;;30;M8;40;;88;31-50;;195;252,78;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16004002008;;;;40;M8;20;;365;48-84;;912;252,78;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16004002508;;;;40;M8;25;;300;48-70;;399;259,27;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16004003008;;;;40;M8;30;;205;60-82;;1071;265,76;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16004004008;;;;40;M8;40;;260;72-106;;1001;288,86;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16005002010;;;;50;M10;20;;860;56-87;;723;346,77;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16005002508;;;;50;M8;25;;700;56-140;;508;380,05;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16005002510;;;;50;M10;25;;700;56-140;;510;380,05;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16005003010;;;;50;M10;30;;450;70-161;;808;401,08;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16005004010;;;;50;M10;40;;350;85-142;;323;437,52;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16005005010;;;;50;M10;50;;170;85-87;;80;491,66;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16006003010;;;;60;M10;30;;700;110-140;;455;573,6;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16008004012;;;;80;M12;40;;821;246-280;;100;1352,17;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A00009 Виброопоры цилиндрические со внутренней резьбой, тип EC (E);https://alterv.ru/catalog/vibroopory/a00009_vibroopory_tsilindricheskie_so_vnutrenney_rezboy_tip_ec_e/;https://alterv.ru/upload/iblock/43e/xb2mc8dummvajeo2q7d2yhdnoxoqu2ht/a00009_vibroopory_tsilindricheskie.png;https://alterv.ru/upload/iblock/056/2j5atefq1juz3m0xc6dkdvnn838cy7sh/a00009_vibroopory_chertezh.png;A00009.16008005012;;;;80;M12;50;;704;280-352;;100;1475,18;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
